id	texto	clase
4150	@user Ya no encuentro calificativos para este Maldito..	incivilidad
6339	@user Así es todos flojos acostumbrados a estar en la miseria y que le metan el pico durante 30años y más ahora con el borrego después se llenan alegando pero cuando se pudo cambiar no lo hicieron solo 5mntos bastaban	incivilidad
2218	"@user Jajajaja, este weon sí que es tonto!!!
Jajajaja, la gente no lo queria por asesino y por haber transado con los colegios las detenciones de estudiantes y que les dispararán a niños dentro de colegios! Aún no se da cuenta de la caga que se mando!!! Weon tonto!!!"	incivilidad
2009	@user @user PERO SÍ, los picaos a zorrones de Coronel pasaos a poto y harina de pescao.	incivilidad
13655	@user @user Estás muy fuera de contexto. Todos los seres humanos tienen cuerpo y no hay gente que suban más fotos de su cuerpo que un hombre adicto al gym y nadie lo sexualiza ni dice nada. Ahora una mujer en bikini sube unas fotos y ya está mostrando el cuerpo provocando o encintando.🤦🏾‍♂️	normal
7425	#ElFactorOrregoMV  por que la izquierda se hace dueña del estallido social? A esta mujer le pasó un consejo de curso de básica y lo quiebra , la gente pide que el político cambie su actitud de cabro chico y se dediquen a trabajar.	normal
5584	@user OH CTM JAJAJAJAJA. https://t.co/ZWajFlA44x	incivilidad
12990	la sigo solo xq el hermano es el negro mas HERMOSO que vi en mi vidaaaAaaa, quiero historias de eeellllll:)))	normal
2607	@user Segun los argentinos ellos no deciden de algo, ellos son los creadores	normal
14828	@user no mujer no, no sé cuanto mides	normal
11372	bueno una pregunta este señor es el presidente ? o será el ( señor de las sombras???) https://t.co/FXJylRQAtj	normal
7801	"Leí
""La niña de santa no tiene nada"" y me dieron unas ganas de patear al culiao que lo tuiteó 😠"	incivilidad
11436	@user @user @user No necesitamos esos venezolanos, muestren generosidad ustedes y llevenselos a Europa. Estoy seguro que ello lo querrían y los chilenos estamos dispuestos a pagarles el pasaje! #noesinmigracionesinvasion	odio
5481	#LaRojaxCHV vamos CTM!! Más que nunca necesitamos otro gol para Chile	incivilidad
2178	Quiénes son los culpables q sigamos encerrados??? Pase de movilidad y encierro a los imbéciles!!! https://t.co/a3ZwAvdIJZ	incivilidad
1348	"@user Cuando empiecen a gobernar estos malditos, recién el ""Pueblo"" de dará cuenta quienes son realmente y cuáles eran sus verdaderas intenciones, peto será demasiado tarde para arrepentimientos"	incivilidad
13207	@user Gracias a Dios, no queremos mas locas de patio como esa, una verguenza para las mujeres hechas y derechas	odio
1363	@user Que se vayan todos los extranjeros malditos!!!!	odio
6021	"gente? Acá lo del robinhoodismo es literalemnte ignorado.
Ella es una mujer muy humilde, pero muy buena. Trabajadora, se saca la cretsa. Crió sola a su hija que tiene su hijo a su vez y ambas solitas scan adelante su hogar compartido. Por qué dañar a personas de esfuerzo? Dónde.."	normal
2555	Y a qué hora empiezan los venezolanos ridículos a decir que Perú va a terminar como Venezuela y bla bla bla? Pregunta seria como pa silenciar palabras digo yo	incivilidad
2709	Los colombianos están de acuerdo que Rueda sacó al trotón divo este https://t.co/baSDPNxWIE	normal
9624	@user @user No! Son delincuentes! Las cosas como son!	incivilidad
14960	@user Seré breve. Les costó bastante caro ser #TRAIDORES_A_LA_PATRIA https://t.co/zNxR9nGQFN	normal
1627	"Terminar con la violencia contra las mujeres es tarea de todos y todas. #TodoChileAlerta es una plataforma web donde podrás capacitarte y ser un multiplicador para trabajar en conjunto por el cambio cultural
Ingresa a 👉https://t.co/i8IcNjLuup y solicita tu capacitación #PorTodas https://t.co/g66LphP9SH"	normal
11446	@user @user Es lo mismo, mapuche puto todo parecido	odio
6879	@user @user @user avispense aweonaos se lo va a terminar llevando cualquier otro y después llega la quinta opción a dar la cacha acá	incivilidad
8903	CTM que partido!!!! #DjokovicNadal #RolandGarros	incivilidad
12353	"@user Por lo menos no me llaman Menstruante"" #Rechazo"	normal
3746	@user ¿Una vez mi hija me preguntó  porque esas mujeres no pueden estar solas un Tiempo?	normal
1172	@user socialistas de clase alta que tratan de inferiores al resto por no pensar como ellos son el cancer del mundo, racistas ignorantes	incivilidad
13265	@user @user Ayyy después se quejan de la homofobia cuando son los mismos gays que se atacan entre ellos mismos. Ay ay que dolor homofobia homofobia.	odio
7958	"HOMBRE? TRANSFOBICOS DE MIERDA. 
 HOMBRE? HOMOFOBICOS DE QUINTA.
 HOMBRE? TERCERMUNDISTA DEL ASCO!.
ERA UNA MUJER TRANS, CERDOS IGNORANTES. https://t.co/074EugkgrP"	incivilidad
11034	🔴🟡🟢ALERTA🔴🟡🟢  Cierre y apertura diario de BITCOIN  y Cryptomonedas .  Les dejamos nuestro referido de BINANCE la mejor herramienta para hacer trading CRYPTO en el mundo !  Una vez que procedan a la apertura de cuenta recibirán un bonus    https://t.co/lLHvHlrJIC https://t.co/bhCh0f1Mg2	normal
10993	No tenga nada en contra los inmigrantes... dígalo derechamente los extranjeros tienen la caga en su condominio mija fiestas droga agresiones asaltos, acostumbrados a vivir a lo pablo escobar solo falta se piteen a weon ahí dentro    Basuras mandélos devuelta!!!    #BuenosDiasATodos	odio
9139	@user malo culiao ese	incivilidad
1954	@user @user La dichosa Machi linconao,es una terrorista armada de la CAM,una violentista,una mujer con una vision limitada de la realidad,deberia estar presa,por el asesinato a sangre fría de los Lucksinger mckay,ademas de ser analfabeta 🤷🏻‍♂️como va a ser capaz de cumplir en la constituyente	incivilidad
11245	🔔 Esta es la prueba de la presencia de un agujero negro supermasivo en nuestra galaxia #Astronomía https://t.co/gtdXZP84ZJ	normal
4442	escuché el disco de Olivia Rodrigo para cachar que onda pq llevo como un mes viéndolo por todas partes. buena la wea, nada que decir, buen pop	incivilidad
10244	@user Dejate De Webiar Todos por culpa de tu modelo tenemos manadas de venezolanos acá, comunista tonto	incivilidad
10447	@user Solo los venezolanos de carácter humilde me caen bien claro que son los menos	odio
13564	@user @user @user @user Si ni el culo te sabes limpiar indígena sucio asqueroso	odio
11502	Entonces hagamos lo opuesto @user: aumentemos el gasto en ciencia y tecnología, las plazas para profesores/investigadores (supongo conoces el bajo número de científicos/población total); las becas para posgrados nacionales y al extranjero... NO concentremos TODO en el Pdte. https://t.co/VHkotwo2xM	normal
13685	@user asu mare lo de la flaca negra aaaaaaa	incivilidad
5879	Como tan ignorante votar por esta mina https://t.co/25vIqmpM6y	incivilidad
1248	@user Indio 😃	odio
7737	No que vergüenza JAJAJAJA me metí a preu y teni el poleron puesto en la cámara y miré sin querer y tenía la mitad del dedo puesto ctm, QUE VERGÜENZA	incivilidad
8183	La UEFA es estricta con los descuentos. Acá los weones se quedan en el piso y no agregan ninguno más.	incivilidad
11035	El efeortega un weon tan amariconado como Baradit para desconocer su amistad con Nicolás Lopez luego de las acusaciones de acoso.	odio
1087	"Y encima tiene que leerlo; pues no es capaz de exponer una idea “tan compleja” de corrido, ya que ni siquiera la entiende. 
Salvador Allende estaría orgulloso de este sujeto: sugiriendo fijación de precios; ignorante, prepo y gritón.

¡Qué vergüenza que represente a la derecha! https://t.co/8oKQCovQ4O"	incivilidad
10978	@user Que manera de ser weona esta mina y sumar peras con manzanas, aparte de tu argumento de mierda para defender la aberración de la esi, te recuerdo que fue una vieja qla feminista la que libero al weon que la terminó matando, y donde estan los gritos de las feminazis??....Piolita!	odio
5942	😂 te pasate mujer, ni de historia sabes. Sos puro panfleto 😂😂 https://t.co/ICuvGN9sg7	incivilidad
14016	@user Ya no llores puto el amerita ya valió madre	incivilidad
5370	@user Los dos ctm son horribles, pero si, gente kl con cuea fue a votar	incivilidad
4505	Los chilenos sabemos que el personal de la Salud es quien nos ha cuidado durante este tiempo. Infinitas gracias a todos.💖💫✨✨ https://t.co/NHpZfepYsq	normal
3150	Cuando toca mi turno meten a un maldito lisiando antes que a mi.	incivilidad
11630	Ahora SAQUEMOS A LOS MAPUCHES DE NUESTRO SUR.Ya Pato,ponete las pilas,a la mierda los Mapuches de mierda,afuera,a la mierda.	odio
13618	Que oso gastar una uva en un wey que namas es chingue wey úsalas para metas personales no mames 👁👄👁	incivilidad
2990	"Como el Mac Mini no tiene webcam y varias personas me han reclamado, compré una en oferta

Full HD y con una nitidez que realza espinillas y puntos negros 🤦‍♂️"	normal
987	estamos en un condominio de tOwN hOuSeS en maipú y parece Melrose Place pero con autos blancos asiáticos y guaguas gordas.	normal
13062	@user @user Noooo Hugo puto porco	incivilidad
14239	Ahora que se sabe quien mató a un comunero dicen que fue legítima defensa, pero cuando no se sabe le echan la culpa al narco terrorismo mapuche. El fascismo tiene muchas caras y una de ellas es engañar.  Condolencias a la familia y pedimos justicia.  Guerra Civil  Wallmapu	odio
7545	"@user @user @user Puta amigo debería hacerle honor a su apodo ""conciencia y verdad"" cuando una vacuna te ha hecho inmortal ? Aweonao . Las vacunas son para que tu propio organismo tenga una mejor respuesta al virus."	incivilidad
1755	@user ¿Este payaso lo único que hace es citar frases?	incivilidad
9640	@user SON DELINCUENTES !!	incivilidad
9221	vidal culiao tambien te culpo, irresponsable ctm deberia haber jugado estas fechas	incivilidad
1613	@user @user Pensé que solo en Chile pasaba esto... que terrible.. fuerza a la familia y a las mujeres, cuídense.	normal
10149	"La jeva literalmente:

- Se queja de un video por ""xenofóbico y racista""
- Llama indios a los arabes.
- Estoy seguro que se refería a hindúes y no indios."	normal
10505	Me gustaría saber cuantos extranjeros ilegales con COVID están ocupando camas críticas en nuestro sistema de salud de Arica a Punta Arenas y si tienen prioridad sobre Chilenos ? @user @user https://t.co/Uuu4T0RMCU	odio
715	Esas pobres venezolanas son como simples cajas vacías, incapaces de siquiera pensar y decidir por sí mismas. Están tan profundamente ancladas en sus mentes estúpidas que no pueden pensar en nada más que en el próximo bocado de comida. ¡No tienen ninguna aspiración en la vida excepto su propio egoísmo!	odio
2470	Saludos desde Santiago de Chile muchachones, full sintonia como buen venezolano del mejor béisbol del mundo #IVCMLB	normal
724	Los mapuches son unos ignorantes sin cultura ni educación que no aportan nada a nadie. Son un estorbo para el desarrollo de la región y un lastre para el progreso. Son unos vagos que se aprovechan del sistema y no quieren trabajar. Simplemente se aferran a sus creencias y raíces culturales sin tener en cuenta las de los demás.	odio
10845	Me tienen podrida weonas estupidas culias, sobrepasan todo límite.	odio
1066	@user @user El día que salga Oliva, sí; efectivamente la ignorante Oliva como gobernador no lo hará? 🤦🏼‍♀️	incivilidad
12925	Que indignación que en este país se proteja de esta forma a un delincuente mapuche y un niño violado y asesinado por pedófilos no tiene la misma cobertura, no existe la igualdad ante la ley, dónde están los DD.HH. de Emilio??? https://t.co/aLkrT12tub	odio
7295	Oe mega KULIAO para la wea ph ctm ,los weones parecen perro buscando fama  y ponen pura wea empieza a repestar ph ctm y déjense de wear con sus comentario KULIAO  @user @user #ARMY #armychile #BTSARMY #KPOP https://t.co/seL3yXnrrh	incivilidad
12352	@user Es un gran fanservice que se aprovecho muy bien y es una gran serie de aniversario que hasta ahora ningún otro le llega a los talones	normal
2348	Lo de hoy en Perú es un adelanto del dilema que enfrentaremos los chilenos en Diciembre. Espero que los peruanos  no el entreguen el gobierno a la extrema izquierda fracasada.	incivilidad
11459	q le interactuai a mi pololo a todavía no es mi pololo perra culia	odio
13775	Los inmigrantes están con cupos llenos .mientras los chilenos nos están despidiendo @user	odio
5408	me dijeron balsamito pal corazon y mi amorcito no puede más ctm &lt;3 &lt;3 &lt;3	incivilidad
962	Exiten seres miserables y los del desgobierno. https://t.co/tPUxK3urXa	incivilidad
14841	@user Ni tanto ni tan calvo. Una especie de bikini en ese contexto eso no creo que sea dignificar el feminismo. Ella es una mandada, y no es tan así lo de que le apetezca. Que se ponga así una amiga tuya en una fiesta de fin de año. Ahora bien lo de pedrojota lo rechazo sin paliativos.	odio
7113	@user Una pena terrible 😢. Aunque sus asesinos vayan a la cárcel por mil años, no le devolverán la vida a ésta linda mujer en la plenitud de su vida, los DDHH no corren para ella. 😢😢	normal
1047	@user @user @user eres un soberano imbecil ignorante	incivilidad
7973	Los mismos traidores ahora aprobaron el proyecto Garantías de la niñez, incluso más. Revise. Malditas lacras https://t.co/4LFghdqYD0	incivilidad
841	¡Los judíos son creadores de guerras! ¡Han sido la causa de todos los conflictos en el Medio Oriente! ¡Es hora de que nos liberemos de la amenaza judía! ¿Por qué tenemos que tolerar sus atrocidades? ¡Eliminémoslos! ¡Desaparezcan de la tierra! 	odio
9794	"@user @user Entiendo que hay cuentas que se dedican a promover la ignorancia, en pos de un capricho derechista de lavar cerebros, como sus propios cerebros han sido lavados desde la cuna; PERO! pretender que todo lo que no es de extrema derecha, es ""zurdo""... demasiado estúpido, básico, bobo"	incivilidad
5379	"ctm no alguien respondiéndome una historia y yo como ya y quién es y viendo que habíamos hablado el 2015 de juntarnos y yo haberlo ghosteado después 💀💀💀 yop de 15 era altamente caótico en verdad 

 https://t.co/F63VAga7FM"	incivilidad
11558	@user @user @user @user @user @user @user @user @user @user MISERABLES ANTICHILENOS Q HAN DIRGIDO CHILE, SOLO TRAJERON DOLOR INMIGRANTES=SINONIMO de TRAFICO ASALTOS EXTORSION ASESINATOS TOMAS ETC https://t.co/3R2Wo60VlV	odio
5770	Orrego va a ganar gracias a los fachos y bueno también gracias a los que no fueron a votar #QueRabia	incivilidad
14253	Drogas, armas en @user   Quien? Adivinen...Extranjeros !!    DEPORTAR YA!!    @user   @user   @user https://t.co/ZrJ7q8lpyp	odio
14727	"@user Para ponerlo en idioma boca ""que messi tenga sexo brutal con una zorra de central y que su hijo sea el próximo mejor de la historia"" o en su defecto que sea mejor que almada, cosa que no es difícil"	incivilidad
4983	@user Por una sociedad con más zurdos. Jejeje, la importancia de la buena y correcta comprensión lectora.	incivilidad
12208	@user @user ¿En qué se basa usted para decir que yo considero que EEUU es un buen país? ¿Cómo ha llegado a esa conclusión? Se lo habrá imaginado, típico de socialistas.  Ahora dígame qué hace a Europa mejor; en EEUU un negocio paga al estado en torno al 25% en impuestos y aquí una salvajada.	normal
14951	@user Los delincuento son los fiscales jueces y demases del mal llamado “Poder Judicial” donde los lanzas narcos los narco politicos son enviados a la Escuela de Etica 💰💰💰💰💰💰💰💰💰 y a la gente comun a las carceles	normal
7672	@user @user @user Pero entiendo que los parlamentarios comunistas votaron a favor. O ellos o él se tienen que ir al gulag.	normal
1590	"Esto en contexto de un estudio que identificó las dificultades en el acceso al financiamiento como principal barrera para el desarrollo empresarial de las mujeres.
https://t.co/rJc4IvFvsy"	normal
8067	"¿Qué ocurre cuando no están editando y publicando?

En #HacedorasdeLibros hablaremos sobre cómo las mujeres sostienen el mundo editorial en la gestión de lo ""común"", y el día a día de la industria independiente.

🗓️ 17 de junio - 19 h
más información 👇
https://t.co/zsDdxbiYtL"	normal
10879	@user oe aweona borra esa foto no vei q es de una ss y la compartis? igual que ellas obvio.	odio
8861	que fuerte testimonio ctm me saco el sombrero por esa señora #chvnoticias	incivilidad
11904	Es un flojo de mi.....!!!  Terrorista mapuche es lo que es ! https://t.co/uXoN9oZQwd	odio
1427	"La Araucania tierra Mapuche
#Wallmapu https://t.co/j2oOnaZqWz"	normal
11199	Me costó captar que era un post de la cuenta real de pokemon y no de una maraca pobre en busca de atención y que de una u otra forma twitter se encarga de sugerirme sus post. https://t.co/VCU4XAIbU3	odio
9403	@user @user suelten las weas perros culiaos	incivilidad
6535	"Señores @user hasta cuando espero la devolución de mi dinero por compra cancelada?? (Fue cancelada a los 30 min )
Primero me dicen 3 días hábiles, luego 5, luego 15, ya va + de un mes y aún nada!!!!
Nefastos!! Cómo es posible q demoren tanto en algo TAN SIMPLE???!!!!"	incivilidad
8204	Aquellos patriotas que hoy  se niegan en votar por un DC tendrán que aceptar que le facilitaron la elección a la señora narca comunista Oliva ! Vamos a votar no le entreguemos el país a estos zánganos resentidos !  No hay otra opción ! A votar !	incivilidad
8917	No puedo con esta felicidad loco! Grande Tsitsipas, amor eterno para el griego ctm 💖💖	incivilidad
13934	@user @user Venga andrea callate q te va a caer un twit de la 10 hateandote	incivilidad
4138	"Esto se lo robe a @user. ¿Que diablos han hechos los populistas vs el desarrollo del ""maldito Capitalismo Machista Opresor??? https://t.co/ZBdHQJHl0C"	normal
3721	"@user Porque no castigamos a esta mujer que tanto a criticado a la derecha?
Le falta inteligencia,tiene que ver como el comunismo se ha apoderado del país , debe aliarse con la derecha para derrotarlo y no demonizarlo
Solos no podrán 
@user 
@user 
@user"	incivilidad
6678	Gata maraca me trajo una lagartija de regalo ... y de nocheeeee 😭😭	incivilidad
8329	@user Todos los putos días tiran bombas de ruido y fuegos artificiales. Del viernes que duermo como las pelotas por lo mismo y ya estoy chata. Me tiene aburrida Stgo, toda una vida viviendo acá que ya no quiero más ☹️	incivilidad
5073	@user estimados muchos chilenos les vamos agradeces que cambien al candidato @user. Este señor solo los representa a un grupo muy reducido. Ustedes  apuestan a que se repita lo de Orrego. Busquen por favor a otro para que 🇨🇱 sea gobernado por la centro derecha.	normal
9427	@user @user Sapos Culiaos sin mar los Weones	incivilidad
14301	Todo por... UNA PUTA DECISION DE MIERDA	normal
10989	@user @user pasamos 23 años para ver esto y me pase caminado todos los puestos de periódicos, oxxo, samborns y ningun periódico en todo el. Centro historico de cdmx habrá manera de. Poder obtener el periódico sí es así muchas gracias espero una respuesta gracias https://t.co/x151ujiFm2	normal
7269	si hay que tener distrito extranjero para quienes esten fuera de la patria puedan votar pero tener representantes del extranjero en chile es otra cosa y nose onda muy incomprensible para eso hagamos votación para elegir ciertas embajadas (que tenga un numero definido de chilenos)	normal
